instruction,input,output
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I musulmani compiono violenze sessuali contro le nostre donne e per questo dobbiamo fermarli per mezzo della castrazione.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Your statistic about suicide bombings also includes incidents in war. Perhaps we should remember the holocaust and the atrocities committed by the far right?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Toutes les femmes que je connais portant le voile font leur vie sans rien demander à personne.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les femmes musulmanes restent chez elles.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Have you checked violent crime statistics? The idea that there is an epidemic is just an attempt at scare mongering in order to demonize the Muslim community. Religion does not make anyone more likely to rape someone.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",So we start with the premise that they all come from a single country.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Tutti gli arabi compiono atti terroristici e vogliono sottometterci per mezzo di violenza e bombe. È opportuno contrastarli con le fiamme.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","L'islam cita anche Gesù come profeta, non ha mai affermato di voler eliminare i cristiani, fa del male a tutti noi affermando cose del genere.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Far right extremism is just a nasty stain on humanity.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The world is already lost, but US and UK face challenges from Islam. These are death cult, intolerance, barbarism, freedom, free speech, being gay, quran, jihad.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I mean, we could call it religious motivated hate if you like which, coincidentally, is what the law calls it.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","No, they carry it in their soul and in their conscience.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Quelles sont ces valeurs?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",So 1.6 billion people could be terrorists?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Oui. Fondamentalistes,islamistes,salafistes. Avec la vrais définitions de ses mots Terroristes et musulmans son des contraires lisé le coran, vous comprendrez.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Votre haine est la maladie, la tolérance est le remède.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",La frequenza della violenza è correlata allo status sociale più che alla religione. L'inclusione e le differenze sociali sono un problema più grande e basilare da cui derivano questi problemi.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Lol because France colonized our countries and took all the wealth, and then she put collaborators for eternity.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam is not a religion belonging to the middle east.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Stop and search disproportionately targets ethnic minorities, looks to me like institutional racism is fuelling this culture of hate.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Ahhhh, well! Ahhhh it is for this reason that more and more French people are moving abroad! In the sun! Uh, in Muslim countries where it is good to live!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The Muslim community is unanimously sided against religious extremism, which is not part of their religion.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les musulmans n'évoluent pas.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","La sua affermazione è molto forte, in base a cosa lei pensa che gli arabi vogliano imporci la loro religione e comandare a casa nostra, non vedo molti arabi in Italia e non vedo nemmeno azioni in questa direzione, però forse non sono stata abbastanza attenta, se mi aiuta con qualche dato le sarò grata.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It is quite literally not.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Veiled women suffer a lot of discrimination, which could lead some of them to lock themselves away.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",So you are saying an entire faith of 1.6 billion is not peaceful? This is ignorant.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","There is a slightly higher unemployment rate (a couple of percentage points higher than white British- certainly not a majority) but this mainly down to a higher proportion of Muslims coming from lower socioeconomic backgrounds and a higher likelihood of discrimination from employers, not refusing to work.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Hi, I understand that the perception of the phenomenon is sometimes amplified by some media, but the number of Muslims in Italy is even less than 5%.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",That sounds like quite a violent threat. Should I let the police know about this or?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Have you read the Koran? I think that you speak using stereotypes.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam is a religion, not a nationality. You can be French Muslim just like French Jewish or Christian or other.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Il y a retour à la foi de manière générale.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Propos incohérent.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Un musulman peut être sujet aux troubles psychologiques comme tout être humain, donc avant de tout remettre sur sa religion voir si la personne que vous décrivez est stable psychologiquement, si ce n'est pas le cas alors compatissez à son état et proposez lui de se soigner.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Unfortunately, Muslimstan does not exist. Religions/beliefs/philosophies/systems thinking transcend geographic boundaries and admit no limits except those which man attaches himself. Jesus is born in Nazareth. For this reason, Christians and Jews should settle there? Get serious.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Black people get stopped by the police for no reason other than being black. Muslims get surveyed by PREVENT just for being Muslim. Anyone would think English law has been persecuting Muslims for hundreds of years.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Mi scusi, ma per rimandarli indietro col barcone servirebbero i trafficanti, forse non è l'idea migliore.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","L'islam non è fanatismo, ma è una religione pacifica e disposta al dialogo. C'è solo una piccola parte della popolazione islamica purtroppo che è estremista. La maggior parte dei musulmani quindi è pacifica e non vuole uccidere nessuno.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ma chi dice che deve essere il nostro futuro? Le religioni possono coabitare!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","If a country will not allow the practice of other religions, that is a cultural issue. The vast majority of Muslims support peoples right to freedom of religion.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Muslims are an integral part of the French system, they do not benefit from it any more than they contribute to it.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Is this Afghanistan or Pakistan? You would never say this is an english town.#saville town (text accompanying video footage of people on their way to friday prayers etc. ).,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","L'islam moderato non esiste, islam è islam.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les femmes ayant la foi portent un foulard par conviction religieuse et certainement pas soumise à qui que ce soit si ce n'est le créateur!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Are you a veiled woman to say such things.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Arrêter de regarder BFM tv.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",La laïcité est justement le droit de vivre pleinement sa religion Ça relève du privé.,non-hate
